Date,Opening Price($),Closing Price($),Highest Price($),Lowest Price($),Trade Volume
12-03-2021,164.02,161.84,164.96,159.72,118023100
12-06-2021,164.29,165.32,167.88,164.28,107497000
12-07-2021,169.08,171.18,171.58,168.34,120405400
12-08-2021,172.13,175.08,175.96,170.70,116998900
12-09-2021,174.91,174.56,176.75,173.92,108923700
12-10-2021,175.21,179.45,179.63,174.69,115402700
12-13-2021,181.12,175.74,182.13,175.53,153237000
12-14-2021,175.25,174.33,177.74,172.21,139380400
12-15-2021,175.11,179.30,179.50,172.31,131063300
12-16-2021,179.28,172.26,181.14,170.75,150185800
12-17-2021,169.93,171.14,173.47,169.69,195923400
12-20-2021,168.28,169.75,170.58,167.46,107499100
12-21-2021,171.56,172.99,173.20,169.12,91185910
12-22-2021,173.04,175.64,175.86,172.15,92135300
12-23-2021,175.85,176.28,176.85,175.27,68356570
12-27-2021,177.09,180.33,180.42,177.07,74919580
12-28-2021,180.16,179.29,181.33,178.53,79144340
12-29-2021,179.33,179.38,180.63,178.14,62348930
12-30-2021,179.47,178.20,180.57,178.09,59773010
12-31-2021,178.09,177.57,179.23,177.26,64062260
